negative, how's a direct flight have unexpected layover in Vegas fuel yet peeps next to me bought for Vegas flight
negative, your no Late Flight bag check just lost you my business I missed flight and AM apt Three other people on flight had same exp
positive, amazing customer again RaeAnn in SF she's the best
negative, called your service line and was hung up on This is awesome
negative, your site is tripping I'm trying to check in and I'm getting the plain text version I am reluctant to enter any card info
neutral, I was scheduled for SFO DAL flight today Changed to due weather Looks like flight still on
positive, has getaway deals through from Lots of cool cities
neutral, has getaway deals through from Lots of cool cities
positive, has getaway deals through from Lots of cool cities
neutral, has getaway deals through from Lots of cool cities
positive, Have a great week
positive, come back to already We need you to take us out of this horrible cold
negative, should I be concerned that I am about to fly on a plane that needs to be delayed due to a tech stop
positive, is the best airline I have flown onEasy to change your representatives a comfortable flying experience
positive, and again Another rep kicked butt Naelah represents your team so beautifully Thank you
positive, your beautiful design is down right but it was cool to still book my ticket all your was secure
positive, Love the team running Gate at LAS tonight Waited for a delayed and they kept things entertaining
negative, Use another browser a brand with a reputation built on tech response doesn't have a compatible website
negative, And now the flight Flight Booking Problems site is totally down what is the problem
negative, I like the customer service but a min delay just for connecting passengers seems too long
positive, thanks to your outstanding crew who moved mountains to get me home to San Francisco tonight
positive, you have the absolute best team and customer service ever Every time I fly with you I'm delighted Thank you
neutral, Do you provide complimentary upgrades to first if there are available seats
negative, i need to change my flight thats scheduled in hours and min wait time on phone Im calling intern Help
positive, completely awesome experience last month nonstop Thanks for such an awesome flight and depart time
neutral, How can I watch the on my flight
neutral, is flight Cancelled Flightled and what do I do if it is
negative, you are failing your customers because your check in process does not link to TSA
negative, us too Terrible airline Just gave us a hotel hotline number and said sorry
neutral, has flight number from SFO to Cabo San Lucas arrived yet
negative, your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline Shame on you
negative, Another delayed flight
negative, I need to register a service dog for a first class ticket from SFO Dulles The phone queue is an hour or longer Pls advise
positive, you ROCK for making it so I can watch on my flight
neutral, dropped a track on you
positive, always Xoxo
negative, why can't we book seats on your flights when we buy them or even during check in Creates so much anxiety
negative, You'd think paying an extra bucks RT for luggage might afford you hiring an extra hand at
positive, best customer service rep in the world takes the cake
neutral, Can you find us a flt out of LAX that is sooner than midnight on Monday That would be great customer service
negative, please provide status for flight I cant imagine it's on time as the Web indicates dude to weather here Dallas
positive, you have amazing staff super helpful as I just ran the they have spoiled me with comfort
negative, I paid the premium to fly you across the you Cancelled Flight my flight and offer no check fee or upgrade love Sad face
negative, is it not possible to book a seat for an infant under It's not giving me the option but we want a seat for him
positive, Always have it together You're welcome RT You're so welcome
positive, home to in' back to
negative, I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy
negative, does that mean you don't have a policy for destroyed luggage
neutral, is there special assistance if I travel alone kids and infant Priority boarding
positive, thank you for checking in tickets are purchased and customer is happy
neutral, is your website ever coming back online
neutral, Is Flight from Love Field to SFO definitely Cancelled Flightled for February
neutral, Is flight out of LGA to DFW on time
neutral, my drivers license is expired by a little over a month Can I fly Friday morning using my expired license
negative, having problems Flight Booking Problems on the web site keeps giving me an error and to contact by phone phone is minute wait
negative, How do I reschedule my Cancelled Flightled flights online The change button is greyed out
negative, I but there is a wait for minutes I can book the same ticket through a fix your site
negative, got a flight were for my email and its for TOMORROW This is unacceptable
negative, our flight into lga was Cancelled Flighted We're stuck in Dallas I called to told I could get a flight for
negative, why don't any of the pairings include red wine Only white is offered
negative, is the website down
negative, Your site seems a little wonked right now May want to have a look Tried on two browsers No CSS
negative, I'm disappointed that the agent at the designated silver status check in line closed to assist all pasengers
neutral, Plans to Include Austin to its Dallas Route TopNews Arab
negative, Is it normal to receive no reply from Central Baggage
negative, at Logan airport and waiting to checkin for my flight Checkin desk not open  Why
neutral, to jump into the market
neutral, Beats EPS Takes On VA LUV Investor's Business Daily
neutral, Lister to my show my on Monday
neutral, to begin in April KETR
negative, you just got all my business from EWR to Fuck you was the clincher
negative, I applied over weeks ago Haven't heard back and I'm flying this week
neutral, I'd love to know what your policy is for damaged luggage
positive, Thank you for the follow
negative, too many apologies You r the worse airlines Don't even respond to your cudtomers
negative, shame on VA for making people spend money in stranded cities when other airlines are landing at JFK Who will reimburse me
neutral, I DM you
neutral, can you please have flights in SJC  I have no choice but to fly Southwest to Vegas
negative, too bad you say it takes to days via YOUR confirmation email When I inquired after weeks you claim to weeks
negative, Flight from BOS LAS tomorrow was Cancelled Flightled No wait times are hour Will you rebook on another airline
positive, RT met your match Got status on another airline Upgrade
positive, Only way to fly
neutral, If only you guys had flights from CMH
negative, a lot of apologies being thrown out to customers from what I can seeVery sad Thanks for nothing Worst airline ever
negative, for all my flight stuff wrong and did nothing about it Had ever
neutral, Having an issue finding a missing item on a plane Can you help me find which airport my plane headed to next
positive, you will match my status Cool
neutral, met your matchGot status on another airline Upgrade
negative, trying to book a flight with you guys and your website won't let me about to lose my business
negative, you suck
positive, thanks
negative, Just DM'd Same issue persisting
negative, Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS Driving to LA for a red eye Mon w kids
negative, trying to book a flight your site is down
negative, You have any flights flying into Boston tomorrow I need to be home and you Cancelled Flightled my flight and didn't do anything
negative, you stink Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook better
positive, I love your guy's song We're dancing to it for our high school dance revue
negative, Your website is down and I'm trying to check in
positive, done Thank you for the quick apparently faster than sitting on hold
neutral, nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow Just sent you a DM to help me
positive, cool picture of another VirginAmerica plane off our wing What a site
positive, Keep up the great work
positive, my goodness your people field are amazing under pressure Texas in crisis Please fly me to NY
positive, Thanks for a great flight from LA to Boston Pilots did a great job landing in the snow Can we go back to LA now
neutral, can you please get me to the new york area before monday afternoon
positive, Thanks so much for the awesome you guys rock
negative, seats in Row don't recline should mention that on your website
negative, flight delayed hours in LA due to mechanical problems Handle like pros but you could have tossed us a free drink
negative, why Cancelled Flight flights today No precipitation to be scared of
positive, twitter team you guys killed it for rescheduling me asap thank you
negative, You guys charged me to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it What's the deal
negative, access your website from Safari on iPhone Seems to work on Mac and iPad Need iPhone to add Passbook
neutral, on iPad and clicking the CHECKIN link in the email I received at before flight
negative, your mobile site is shows won't let me checkin
negative, I was really looking forward to my flight can you let me know when it will be rescheduled
negative, why Cancelled Flight flight One sec its on my to the next its Cancelled FlightledGonna email or call me to reschedule
negative, I did it but there was a problem in the link from the email for thanks
negative, had to change to another airline to get to DC today  Why is able to land in DC but not you Cost me ugh
negative, I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one
positive, when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love
positive, wish I can afford to fly with you next Friday going back home love everything about your airline
negative, how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas
neutral, just a bug guys
negative, hold times at call center are a bit much
positive, Like
negative, Site down
positive, You have the best flight attendant ever
positive, Awesome RT Watch nominated films at feet
positive, thanks so much
negative, Trying to reset my email never arrives Help
positive, the only airline based in Silicon Valley
positive, Very nicely done
positive, looking forward to watching the Oscars on my flight home tomorrow I might even get something bubbly to drink
negative, What is the reason for the delay of the departure of VX from JFK this afternoon
negative, is todays flight from Palm Ca to JFK in NY Cancelled Flightled
positive, hahaha YOU GUYS ARE AMAZING I LOVE YOU
positive, sounds like fun
neutral, any updates on flight from Jfk Lax
neutral, spruce moose
negative, the CSS on your site is a right please fix Site unusable
negative, We're on flight Vegas to Boston checked in online but our bag count didn't register Can I fix that somehow
positive, luv Virgin America Greetingz
negative, I'm trying to do but the website is not working I tried different browsers and the problem continues
positive, Thanks for your great customer service today for helping me get all my travel sorted out
positive, thanks guys Sweet route over the Rockies
positive, love the music blasting at gate in while waiting for flight to Only if I could get an iced coffee
negative, the passenger in Flt that assaulted me shouldn't have flown I trust he's banned Crew filed report to
negative, current bug on website shows departure when selecting destination city
negative, luggage was severely wheel coming off baggage claim in SAN Luggage agent Miranda wasn't any help
positive, thank you for the easy itinerary shift for impending weather painless free
neutral, If you'd love to see more girls be inspired to become RT our free WOAW event March at ABQ
positive, Thanks Good times there and back the entire
neutral, beats shares take off Santa Cruz Sentinel
neutral, any plans to start flying direct from DAL to LAS
neutral, BIG weRin
positive, you're doing a great job adding little that improve the air travel experience Thank you Keep it up
negative, requested window seat and confirmed window but got stuck in middle seat Not a good way to treat silver
neutral, Grand Budapest Hotel
neutral, This is what you missed Next trip to the
negative, I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience
negative, there is something wrong with you website in Safari iPhone
positive, thanks for gate checking my baggage on your full flight and giving me early boarding too
negative, Already checked in so the page expired
negative, Boo for a not refunding a seat upgrade fee I did not want to buy in the first place
neutral, shares rise on financial results USA TODAY
neutral, Adds Pillows Instead of Seats in First Class Arms Race
positive, I see what you did there
neutral, way to take advantage of
neutral, you know I'm flying virgin for the fight
positive, your inflight team makes the experience
positive, cutest salt and pepper shaker ever Just when I think you guys can't get any better you just do
negative, moved my seat with no notice Better seat is cabin select not behind the row I
neutral, shares up on results
positive, fav airline
positive, we have a hot female pilot Sweet DCA to SFO
neutral, When are you guys going to start flying to Paris You're
neutral, what is your policy on flying after surgery I am still waiting for answer so I can tell me doctor
negative, already contacted Central Baggage sent DM is charging me for the dress that was in the lost suitcase
positive, Thank you
negative, Is there anything going on with the website I've been getting a lot of errors past minutes
neutral, I think i left something on the plane yesterday who do i callah
neutral, I need you to follow back in order to DM
neutral, Need to start flying to
neutral, they told to check with the airline regulation first so that is why I contacted you
negative, I have just checked in flight to SFO from LAX been told as Atlantic Flying Club Gold I get no benefits
negative, husband and I ordered three drinks via my screen and they never came Awesome
negative, soooo are you guys going to leave the seatbelt light on all flight You can barely call this turbulence
neutral, what is your policy on flying after surgery
neutral, posts second consecutive net profit
negative, Funny your website is you have missing javascript and stylesheets on the checkin process I dislike this
positive, would love to do more for virgin just like I do for
neutral, Results Handily Exceed Forecasts
neutral, I applied for a position in I was wondering if you guys received my application
neutral, achieves a second year of profitability despite revenue pressure
neutral, gives positive but sees increased competition
negative, I'm trying to check into my CT flight tmm on the desktop website and it's not working sort of caching SOS
neutral, weather delays next few weeks
neutral, check the website before you go to the airport
negative, Do you guys know your links from emails are broken
neutral, pilot says we expect a choppy landing in NYC due to some gusty winds temperature of about degrees windchill
positive, loved it Can't wait for Monday's return flight Mostly just to watch the inflight safety video again
negative, lost my luggage days ago on flight VX from LAX to IAD I'm calling every no responsePlease give me back my stuff
negative, The Flight Booking Problems section of your website seems to be broken on Chrome Might wanna look into that
positive, Hi Just wanted to see if you have any new routes planned this year for Newark Love flying you guys and hope to do so more
positive, I mean Probably inappropriate while on board it's on
positive, happy to spend the day together Let's do this
neutral, is saving my sanity right
neutral, missed my flight How does standby work
positive, They were very understanding and helped me out Thx
neutral, brought it all the way across the country today I see
positive, thank you I absolutely will
negative, Looks like a broken link for your assets
neutral, are you ready Let's say it together 'Noooo turbulence today'
negative, the manage itinerary section of your website seems to be broken for me
negative, can't check your site looks like this every time it loads
neutral, can u help this needs urgent treatment old battling cancer could u help with flights
neutral, may start service to Hawaii from this year
negative, Other carriers are less than half price for a round trip fare I am stunned
negative, WTF is happening in PDX Late Flight March such that one way from SFO is
neutral, add DTW and I'm sold
positive, How about some free drinks on the flight back for the free promo
positive, thanks
neutral, momma I made it
neutral, please contact me about portfolio left on flight VX from JFK to SFO tonite seat Need it returned Call
neutral, help I was On Flight from JKF tonight seat left portfolio Need it back
neutral, Seattle bound Wifey got me the duffle for vday She's a keeper Holla
negative, my luggage is gone I've filed my promised a Still no resolution or response from central luggage
neutral, Debbie Baldwin gave a performance of the safety demo this evening on
positive, Thanks
positive, thanks for taking care of on her flight
positive, Thanks for the lovely soft views to
negative, I requested a mileage challenge for status several weeks ago online but haven't heard back How do I get help with this
negative, Just trying to book tickets to NYC and facing super fun broken styling Don't I'll keep trying
neutral, Many Thanks for the Follow Looking for Any
neutral, Lofty View
negative, Applied for Status Match on Feb Got confirmation email same day Still no news though You guys have dropped ball Late Flightly
neutral, is my new go to airline
neutral, Can You Help in need of some help in
positive, I adore and am so looking forward to my flight to Austin in two weeks
positive, I was so glad it was mentioned I took my first virgin flight a few years back and it was a transformative experience
neutral, Flight Booking Problems flight to uphold my status match Do taxes on ticket count as earned status points
negative, trying to looks like your site is down
negative, spending my birthday night with Get me home
negative, Sent a couple messages to the email you provided but to no avail Will try again next year Cheers
positive, first time flying went to Thanks for the smooth ride Easily my new fav airline
negative, though will there not be direct flights from in may
negative, It's fine Already done with my purchase But you should try it Just go most of the way through then go back
negative, not really the experience I was hoping I ws forced check in a small carry nothing but empty cabin space on board
negative, wjere is our luggage slow at lax
neutral, to jump into the market
negative, I spoke with a representative that offered no I am a loyal customer who flies on as well
negative, I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
negative, what happened to direct flights from Looking in only see connecting
neutral, Can you help Left my blazer in Kooples jacket bag at row second seat from right gate lax Flight to sfo
neutral, partners with Checkout as mobile payment method to help boost mobile conversion rates
positive, just promoting the product is had a problem with southwest and recommend noneother than the best
positive, love you but pls get some direct routes LAS to AUS
neutral, i would like help with some flights please
neutral, Bruh Turn down for what
positive, of course I work for and I'm obsessed with the entire Virgin family
positive, ok first time flying with you tonight
neutral, Digging the swanky pink mood lighting during the flight from NYC to SFO Just needs a cabaret singer Think about it
neutral, but I need the receipt ASAP Could you please help
negative, I have and embossed badges and patches superior to the ones you are currently using
negative, on from JFK to LA dirty plane not up to your standards
negative, on flight headed to LA from JFK dirtiest VA plane I have ever been on Sad for a great airline
positive, got it squared away Someone picked up as soon as I tweeted Should have tweeted sooner
negative, your Avis rental continue button doesn't work on your website to book car Tried times on phone This sucks
negative, delayed
negative, currently in minute of being on hold with cust service Do I need to do anything to add a lap child to my reservation
neutral, Adds Pillows Instead of Seats in First Class Arms Race by
positive, Of course Have fun Thanks Happy Chinese New Year
positive, Flight Booking Problems last second flight for next week from to SAN any chance you want to gift me a promo code since I love you guys
negative, Comenity Bank is a joke Please change Nothing but constant problems with this bank
neutral, I just how can I DM Do u have to also add me
positive, For my Grandma Ella's she would a bday greeting from your flight crew She was a stewardess for Eastern Airlines
positive, Just bought tix for ATX Dallas route thanks for adding that Love yr airline yr website is BEST transactional site EVER
neutral, sugafly
positive, gave a credit for my Late Flight flight yesterday Great service  That's a Wow moment Unexpected gesture
neutral, I need a receipt for a flight change Can you send one
negative, I submitted a status match request a while back and still heard flying on Monday Can you look accelerate
positive, had me at their safety video    LOVED my first cross country flight
positive, that doesn't look to fat to me It looks yummy
neutral, CEO says have strayed from low cost model
neutral, a brilliant brisk am in Boston in cue for
neutral, Atlantic ploughs a lone furrow in the
neutral, Atlantic ploughs a lone furrow in the
neutral, Atlantic ploughs a lone furrow in the
positive, omg nonstop Dallas to Austin on
positive, Your planes are really pretty Just thought u should know that
neutral, when are you flying to hawaii
negative, I'm pulling my hair out trying to book a flight with u Your site doesn't work on iPhone or iPaddon't have a computer
positive, thank you
negative, Can I get some help with a support ticket It's been days Thank you
positive, good to be home
negative, I cannot even open my laptop in seat and I paid a premium for this Let me out of here
negative, I am in seat and I cannot even open my and I paid extra for this seat
neutral, If only you guys were starting those flights at the end of the month Guess still road tripping on Feb
positive, thanks for that Been needing a way to make those Austin trips from and now you've come through
neutral, announced New Route to Austin from
neutral, Really Sprint I thought you guys were 'kewl'
positive, this is too cool Never been on ur planes but now I will
neutral, you should have dollar fares
positive, great Well deserved
negative, FYI the email address you say to contact in password reset emails doesn't exist Emails bounce
negative, Status match weeks have gone by and no newsFlt next week hope flt will count towards requirement Cust Svc no help
negative, your website sucks donkey dicks Just thought you should know All best
neutral, You should still develop an app then you will be my favorite airline
negative, all crap channels which is why I pay to watch UK tv
positive, got it All set Thanks
neutral, no A's channel this year
neutral, Only thing I see on passbook is Virgin Mobile Mexico How do I integrate
positive, Giants and Virgin America A match made in heaven
positive, thank goodness see you BOOM
negative, how come you don't have an iPhone app Still using and making me waste paper
negative, Your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname
negative, When will VX use all LGA slots instead of today Adding AUS makes this less likely
neutral, is helping me step up my game
positive, I luv ur people and product thing is y do u charge for herbal tea but not black tea I'm not a caffeine drinker
positive, thank you See y'all soon I'm excited to see the expansion of destinations Spread those wings
neutral, announces new nonstop connecting
neutral, adds Love Field route
negative, sad to learn you no longer fly SFO PHL Hope it returns
neutral, can you tweet me the Cancelled fee for a flight or can I rebook under one of your affiliates If who are afiliates
positive, has the most INCREDIBLE customer service I've ever experienced So refreshing
neutral, when will we see VirginAmerica come to Philadelphia
positive, am I dreaming Did you really just open up a route between Dallas and Austin And does this mean Houston might be next
positive, OMG FINALLY
neutral, to start flights from to on
neutral, Nice to see you expanding in Texas but don't forget about us here in I would love to see more flights out of here
negative, kinda sucked my earphone jack didn't work on my flight They may want to look into that for future passengers
negative, Very poor experience First computer problem now seat malfunction Stuck Missing meeting in San Diego
neutral, to battle on route via
positive, the route makes my day
positive, awesome deals for only each way
neutral, I miss the in San Jose
positive, love taking on in their backyard Consumers win when biz competes
positive, is flying from Love to Austin now That is most excellent news
neutral, can we make every VX plane with Why should Austin be the only one getting nerd love
neutral, please add more frequency to PDX Portland
positive, Congrats VX on the new route
negative, I tried that You offered to charge me an additional for a new ticket or be stranded until Thurs last time
neutral, can u help with flights to get a old battling cancer who needs treatment in
negative, Never had a bad experience but this one took the cake Now extortion for carry on items as well
negative, Had to spend hours worrying that items in carryon would be since I couldn't carry them on plane or lock bag
negative, All of group E was told there was no more room in the bins when I got on the was room for at least bags in my row
negative, Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate
negative, I have lots of flights to book and your site it not working I've been on the phone waiting for over minutes
positive, I am all about the in flight artisanal cheese and wine pairing
neutral, does Virgin America fly direct from Seattle to NYC or Boston
positive, That's classy
positive, I'm sure a lot of your and flights go a lot faster than with a strong tailwind
positive, now it's just minutes until my Elevate a Silver upgrade window opens
neutral, save some for tomorrow AM
negative, Why is it taking years to fly home to Dallas Get your shit together
neutral, club Virgin is bumping in New York
positive, would have been a rough trip but LUCKILY we were on a flight
neutral, is that
neutral, Please come to Minneapolis St Paul
neutral, YES FYI MY BFF
positive, another perfect flight How come on your the sun visors can stay down Other carriers make you raise them
positive, Nice RT The man of steel might be but we have WiFi just saying
positive, I love the dancing little richard cool beans
positive, I use Passbook I still love you though just use my email in the future
positive, thanks for the free birthday points y'all are ALL RIGHT with me
neutral, do you have an application for iOS Was looking and only saw Virgin Mexico
negative, Man of steel flies to more cities thoughand with more frequency too
positive, thanks so much for sharing Just added it to my site
neutral, Good point
neutral, I heard he has a virgin mobile hotspot
neutral, you got cheese pLate Flights too
neutral, On all your flights
positive, Dad on Segway is the best part of this whole infographic
positive, Are there any plans for a short haul airline in Europe Would defiantly fly with you guys
positive, wifi AND better seating
neutral, how come ABC is the only one of the network channels you don't have
negative, started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me
positive, not only was it but you return my calls the day after Couldn't ask for more
negative, While other airlines weren't Cancelled Flighting flights into and helping their customers get Virgin was saying Good luck
neutral, Dear Virgin while you're stranded in SF for days we'll do the very least we can to accommodate you
neutral, should use this in their next airline commercial lol
negative, Grouping Virgin in with the others now BOS weather has exposed their actual Cus Serv model Never Flight Booking Problems with Virgin again
negative, As one of the travelers affected by the Boston I'm shocked at Virgin's complete apathy toward their customers
negative, Umm so no reason as to why this is Is there someone different I should contact contact to get a definitive answer
negative, Trying to make the change in advance just hours it online earlier and it wanted in change fees
positive, so loyal that I'm driving to from to fly since you cut flights
neutral, Any way to change from Main Cabin to Main Cabin Select same without paying a change fee penalty
positive, you guys are perfect as always
positive, thanks Y'all have some of the best customer service left in the industry
neutral, Can you give me Silver Status for months
positive, really wish you'd fly out of those fares are amazings
negative, mood lighting on Reclining my kickin up my
negative, my flight scheduled for departure still says on time but no plane at gate Any update on how long of a delay
negative, my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for Your reps were no help either
neutral, Are there any sign up bonuses to enroll in Elevate
positive, just got on the in Newark home to LA Your folks at EWR are incredible
neutral, morning If I have a question regarding elevate points flights can I DM you
neutral, still waiting to see
neutral, was wondering if you guys recieved my dm and we're able to potentially respond asap
positive, Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul
neutral, Book out of town with fares from
positive, thanks
positive, Thanks for taking care of that MR Happy customer
negative, still no refund or word via DM Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip
negative, Delayed due to lack of crew and now delayed again because there's a long line for deicing Still need to improve service
positive, thanks we filled it out How's our luck with this Is it common
negative, Your express connections are hugely popular  now if only we could have an hop
neutral, even on international flight Glasgow to the US Then what about orlando to Newark All mins
negative, you think you boarded flight too early I think so
neutral, I but it's tough when there is no way to get to the airport serious risk of an accident It's a steep price
negative, Gate agent hooked me up with alternate flights If you have a way to PREVENT the constant that would rock
neutral, flying in a few weeks How long do we have to be at airport for before departure for both international and domestic Ta
positive, thanks
positive, Thanks It is on the same ticket
neutral, why not Is it a law or a policy
negative, is the worst Nonrefundable First class tickets Oh because when you select their system auto selects economy
negative, So I can buy tix days before flight but can't transfer the tix Flawed security logic Flawed customer service
negative, I did start a claim but weeks is am I really supposed to go that long with out a car seat for my childRidiculous
positive, follow me please this airline is beautifull
neutral, no I but I'm sure United have my info on its system
negative, if the car seat is lost should just reimburse me for a new this is not a pair of it's a necessity for my child
neutral, Just submitted my response on the link you sent
neutral, David Allan send an email with this number and
negative, that totally sucks my cousin worked at PHL said
positive, just wanted to let you know how wonderful Rosetta the gate agent was working flight Dan to Ase Let her know she wasappreciated
neutral, a paper voucher that I got on January
negative, beginning of Feb I called United they said they would send another voucher by mail Never got anything
negative, the internet is a great thing I am emailing executives in your maybe they will respond to me in a timely manner
neutral, Do I need to use a Chase United Club pass for my old or can he come in with me on my pass
neutral, and what am I suppose to do with that number
negative, thats weak See ya Hey
negative, I flew back w other company since United didnt have an earlier flight
neutral, I lost a voucher that I was given in Miami aeroport on jan I did not use it
negative, I am trying to book awards for September and need flights on but they will not show even many award seats availab
negative, I sure did I had to drive a total of hours to get my own bag I'd like to explain that debacle but no one wants to talk to me
neutral, Gee that's like almost caring about ppl more than Think I'm more int in having a trusted adult daughter
negative, See We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr After we there was a defibrillator issue
negative, why no preferred security line anymore My TSA didn't pull on my partner flight
negative, Airport need to indicate different for terminals
negative, yes please I am newly married and trying to update my last name on a preexisting international flight It seems so but
negative, How does United refuse to reissue a lost voucher when their plane didn't take off due to mechanics
negative, also during the run I was instructed to I shattered my computer
